id_fait,annee,code_departement,id_indicateur,nombre_faits,taux_pour_mille,population,nombre_logements
329,2019,39,4,1,0.004,259199,150475
330,2019,40,4,4,0.010,413690,262370
331,2019,41,4,0,0.000,329470,185077
332,2019,42,4,6,0.008,765634,401112
333,2019,43,4,0,0.000,227570,143916
334,2019,44,4,10,0.007,1429272,764010
335,2019,45,4,15,0.022,680434,348977
336,2019,46,4,0,0.000,174094,119499
337,2019,47,4,3,0.009,331271,187058
338,2019,48,4,0,0.000,76604,61547
339,2019,49,4,8,0.010,818273,400508
340,2019,50,4,4,0.008,495045,299656
341,2019,51,4,8,0.014,566855,297288
342,2019,52,4,2,0.012,172512,100382
343,2019,53,4,4,0.013,307062,158083
344,2019,54,4,4,0.005,733760,379680
345,2019,55,4,3,0.016,184083,99834
346,2019,56,4,8,0.011,759684,472749
347,2019,57,4,17,0.016,1046543,523268
348,2019,58,4,1,0.005,204452,141411
349,2019,59,4,33,0.013,2608346,1232504
350,2019,60,4,9,0.011,829419,378048
351,2019,61,4,2,0.007,279942,165100
352,2019,62,4,19,0.013,1465278,720800
353,2019,63,4,8,0.012,662152,392038
354,2019,64,4,8,0.012,682621,413357
355,2019,65,4,2,0.009,229567,163634
356,2019,66,4,8,0.017,479979,355661
357,2019,67,4,12,0.011,1140057,567991
358,2019,68,4,9,0.012,767086,382805
359,2019,69,4,21,0.011,1875747,937544
360,2019,70,4,2,0.008,235313,128450
361,2019,71,4,10,0.018,551493,311966
362,2019,72,4,7,0.012,566412,293561
363,2019,73,4,8,0.018,436434,352254
364,2019,74,4,7,0.008,826094,525404
365,2019,75,4,41,0.019,2165423,1389375
366,2019,76,4,11,0.009,1255633,649681
367,2019,77,4,12,0.008,1421197,626435
368,2019,78,4,14,0.010,1448207,649383
369,2019,79,4,2,0.005,374878,195568
370,2019,80,4,8,0.014,570559,303449
371,2019,81,4,5,0.013,389844,214423
372,2019,82,4,4,0.015,260669,133522
373,2019,83,4,22,0.020,1076711,729223
374,2019,84,4,8,0.014,561469,308505
375,2019,85,4,5,0.007,685442,430815
376,2019,86,4,5,0.011,438435,242907
377,2019,87,4,4,0.011,372359,221194
378,2019,88,4,6,0.016,364499,214287
379,2019,89,4,3,0.009,335707,197718
380,2019,90,4,1,0.007,141318,73180
381,2019,91,4,11,0.008,1301659,570417
382,2019,92,4,16,0.010,1624357,807711
383,2019,93,4,23,0.014,1644903,687238
384,2019,94,4,20,0.014,1407124,647289
385,2019,95,4,9,0.007,1249674,517063
386,2020,01,4,3,0.005,657856,325431
387,2020,02,4,7,0.013,529374,267555
388,2020,03,4,3,0.009,335628,209251
389,2020,04,4,8,0.048,165451,130500
390,2020,05,4,1,0.007,140605,138751
391,2020,06,4,20,0.018,1097410,783398
392,2020,07,4,4,0.012,329325,207922
393,2020,08,4,6,0.022,269701,143402
394,2020,09,4,4,0.026,153954,110875
395,2020,10,4,2,0.006,311435,166928
396,2020,11,4,1,0.003,375217,266877
397,2020,12,4,3,0.011,279554,183702
398,2020,13,4,42,0.021,2048070,1055315
399,2020,14,4,6,0.009,697547,426069
400,2020,15,4,0,0.000,144379,102234
401,2020,16,4,5,0.014,351718,199746
402,2020,17,4,8,0.012,655709,445578
403,2020,18,4,3,0.010,300933,179389
404,2020,19,4,3,0.013,239190,155575
405,2020,21,4,6,0.011,535078,294776
406,2020,22,4,5,0.008,603640,373909
407,2020,23,4,0,0.000,115995,88769
408,2020,24,4,4,0.010,412807,262321
409,2020,25,4,4,0.007,545209,285770
410,2020,26,4,8,0.015,517709,279948
411,2020,27,4,10,0.017,599668,299419
